,Continent,Jaar,Meningitis,Alzheimer en andere dementia's,Parkinson,Malaria,Verdrinking,Huiselijk geweld,HIV/AIDS,Diabetes type 2,Vergiftiging,Verkeersongelukken,Totaal
0,Africa,1990,181356,31999,8654,597606,33216,51917,265848,86560,19498,179867,7127505
1,Africa,1991,182501,33152,8906,616287,33186,54815,344006,88961,19480,181011,7263855
2,Africa,1992,186504,34408,9196,629688,33265,61738,434744,92123,19753,185304,7419253
3,Africa,1993,187340,35640,9497,648401,33251,65169,536654,94548,19790,186757,7608435
4,Africa,1994,186938,36926,9821,660776,33197,60572,646951,98035,19889,189789,8338003
5,Africa,1995,188959,38125,10097,678985,33001,60982,762466,100889,19905,191523,8024307
6,Africa,1996,204317,39434,10406,698525,32607,62748,878671,105175,19843,192664,8268198
7,Africa,1997,194096,40762,10781,718766,32759,64299,993390,110643,20059,197302,8489734
8,Africa,1998,194110,42079,11109,737166,32550,67244,1105601,114545,20100,200418,8693048
9,Africa,1999,197127,43344,11361,754056,32397,70120,1209221,117180,20183,202819,8883766
10,Africa,2000,198445,44800,11665,774814,32249,72630,1300824,120678,20346,205635,9015424
11,Africa,2001,199511,46236,12047,804628,31990,71802,1377221,123981,20238,207542,9083881
12,Africa,2002,199724,48163,12586,813477,32011,74930,1438235,128175,20411,210584,9201194
13,Africa,2003,203233,49857,13083,843576,32022,74310,1482329,132649,20516,214143,9305763
14,Africa,2004,201700,51658,13479,848292,31860,75441,1500897,136288,20636,216130,9324747
15,Africa,2005,202343,53482,13860,837920,32126,74470,1479894,139933,20796,217388,9282725
16,Africa,2006,204751,55467,14340,840016,32405,75505,1417983,144707,21020,219953,9259811
17,Africa,2007,203718,57142,14697,840598,32243,74824,1328491,148160,21063,220826,9168440
18,Africa,2008,197779,59218,15229,836269,31676,74955,1228654,152485,20955,221681,9064034
19,Africa,2009,195658,61192,15733,825002,31481,77072,1139313,157552,20914,223019,8991162
20,Africa,2010,190407,63293,16242,806967,31053,76389,1066544,162514,21018,223603,8902737
21,Africa,2011,180831,65555,16758,767184,30589,77522,998164,167052,20767,224359,8794385
